"Participant","Gender","Condition","Age","VAR00002","Age_In_Months","AgeGroup","Competent_Model","MajorityBias","CompetenceBias","CopyModel","CopyMajority","FirstTrial_Model","SecondTrial_Model","FirstTrial_Majority","SecondTrial_Majority","FirstTrialCount_NumberOfTimesImitatedAction","SecondTrialCount_NumberOfTimesImitatedAction","OverallCount","CountMatch","LastQuestionLastModel","CountmatchFirstTrial","CountMatchSecondTrial","Slot_CompBias","Slot_MajBias","Slot_CountMatch","Slot_CountFreq","Cube_CompBias","Cube_MajBias","Cube_CountMatch","Cube_CountFreq","OverImitationIndex","Slot_OverImitationIndex","Cube_OverImitationIndex","Slot_Rationale_Category","Cube_Rational_Category","FlaggedData","VAR00004","filter_$","AverageOverallCount","OverallCount_Rounded","FirstTrialCount_Rounded","SecondTrialCount_Rounded","FirstTrial_LevOfImitation","SecondTrial_LevOfImitation","In_or_Efficient_copiers"
"1109",2,1,6,6,77,2,2,1,1,0,0,1,0,0,1,1,1,2,0,1,0,0,0,1,0,1,1,0,0,1,NA,NA,NA,4,4,NA,0,0,1,2,1,1,1,1,1
"1110",2,1,5,5,63,1,4,2,0,0,1,0,0,1,1,5,5,10,0,1,0,0,0,1,0,5,0,1,0,5,NA,NA,NA,1,1,NA,0,0,5,NA,5,5,3,3,2
"1111",2,1,7,7,89,2,3,2,0,0,1,0,0,1,1,2,2,4,2,1,1,1,0,1,1,2,0,1,1,2,NA,NA,NA,2,2,NA,0,0,2,4,2,2,2,2,2
"1112",1,1,7,7,92,2,1,2,0,0,1,0,0,1,1,1,2,3,1,0,0,1,0,1,0,1,0,1,1,2,NA,NA,NA,2,2,NA,0,0,1.5,3,1,2,1,2,2
"1113",2,1,7,7,92,2,2,0,2,1,0,1,1,0,0,2,2,4,2,1,1,1,1,0,1,2,1,0,1,2,NA,NA,NA,4,4,NA,0,0,2,4,2,2,2,2,2
"1114",1,1,5,5,63,1,4,2,0,0,1,0,0,1,1,2,2,4,2,1,1,1,0,1,1,2,0,1,1,2,NA,NA,NA,4,4,NA,0,0,2,4,2,2,2,2,2
"1115",2,NA,7,6,76,NA,3,0,2,1,0,1,1,0,0,2,2,4,2,1,1,1,1,0,1,2,1,0,1,2,NA,NA,NA,3,3,NA,NA,NA,2,4,2,2,2,2,2
"1116",2,1,6,6,80,2,1,0,2,1,0,1,1,0,0,3,3,6,0,1,0,0,1,0,0,3,1,0,0,3,NA,NA,NA,2,2,NA,0,0,3,NA,3,3,3,3,2
"1117",1,1,5,5,69,1,2,0,2,1,0,1,1,0,0,2,3,5,1,1,1,0,1,0,1,2,1,0,0,3,NA,NA,NA,1,4,NA,0,0,2.5,5,2,3,2,3,2
"1118",1,1,5,5,67,1,4,2,0,0,1,0,0,1,1,2,2,4,2,1,1,1,0,1,1,2,0,1,1,2,NA,NA,NA,4,1,NA,0,0,2,4,2,2,2,2,2
"1119",1,1,5,5,67,1,1,1,1,0,0,0,1,1,0,2,3,5,1,1,1,0,1,0,0,3,0,1,1,2,NA,NA,NA,4,5,NA,0,0,2.5,5,2,3,2,3,2
"1120",2,1,5,5,60,1,3,1,1,0,0,0,1,1,0,1,1,2,0,1,0,0,1,0,0,1,0,1,0,1,NA,NA,NA,4,4,NA,0,0,1,2,1,1,1,1,1
"1121",2,1,7,7,87,2,4,2,0,0,1,0,0,1,1,2,2,4,2,1,1,1,0,1,1,2,0,1,1,2,NA,NA,NA,4,4,NA,0,0,2,4,2,2,2,2,2
"1122",2,1,6,6,78,2,2,0,2,0,1,1,1,0,0,1,3,4,0,1,0,0,1,0,0,1,1,0,0,3,NA,NA,NA,2,5,NA,0,0,2,4,1,3,1,3,2
"1123",2,1,7,7,86,2,4,0,2,1,0,1,1,0,0,3,2,5,1,1,0,1,1,0,0,3,1,0,1,2,NA,NA,NA,3,3,NA,0,0,2.5,5,3,2,3,2,2
"1124",2,1,4,4,55,1,3,1,1,0,0,1,0,0,1,1,2,3,1,1,0,1,1,0,0,1,0,1,1,2,NA,NA,NA,1,5,NA,0,0,1.5,3,1,2,1,2,2
"1125",2,1,4,4,58,1,1,2,0,0,1,0,0,1,1,2,3,5,1,1,1,0,0,1,0,3,0,1,1,2,NA,NA,NA,3,3,NA,0,0,2.5,5,2,3,2,3,2
"1126",1,1,6,6,77,2,2,1,1,0,0,0,1,1,0,2,3,5,1,1,1,0,1,0,0,3,0,1,1,2,NA,NA,NA,1,1,NA,0,0,2.5,5,2,3,2,3,2
"1127",1,1,6,6,79,2,4,2,0,0,1,0,0,1,1,3,5,8,0,1,0,0,0,1,0,3,0,1,0,5,NA,NA,NA,4,4,NA,0,0,4,NA,3,5,3,3,2
"1128",1,1,4,4,53,1,3,0,2,1,0,1,1,0,0,4,4,8,0,1,0,0,1,0,0,4,1,0,0,4,NA,NA,NA,4,4,NA,0,0,4,NA,4,4,3,3,2
"1129",2,1,7,7,89,2,1,0,2,1,0,1,1,0,0,2,2,4,2,1,1,1,1,0,1,2,1,0,1,2,NA,NA,NA,4,4,NA,0,0,2,4,2,2,2,2,2
"1130",2,1,6,6,80,2,2,2,0,0,1,0,0,1,1,2,4,6,1,1,1,0,0,1,0,4,0,1,1,2,NA,NA,NA,4,4,NA,0,0,3,NA,2,4,2,3,2
"1131",1,1,7,7,87,2,4,1,1,0,0,0,1,1,0,4,5,9,0,1,0,0,0,1,0,4,1,0,0,5,NA,NA,NA,4,4,NA,0,0,4.5,NA,4,5,3,3,2
"1132",2,1,6,6,74,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"1133",2,1,6,6,75,2,1,0,2,0,1,0,0,1,1,4,1,5,0,1,0,0,0,1,0,1,0,1,0,4,NA,NA,NA,5,5,NA,0,0,2.5,5,4,1,3,1,2
"1134",2,1,6,6,80,2,2,0,2,1,0,1,1,0,0,1,2,3,1,1,0,1,1,0,0,1,1,0,1,2,NA,NA,NA,3,5,NA,0,0,1.5,3,1,2,1,2,2
"1135",1,1,4,4,49,1,4,2,0,0,1,0,0,1,1,0.5,1,1.5,0,0,0,0,0,1,0,1,0,1,0,0.5,NA,NA,NA,4,4,NA,0,0,0.75,2,1,1,1,1,1
"1136",2,1,7,7,93,2,3,1,1,0,0,0,1,1,0,4,4,8,0,1,0,0,0,1,0,4,1,0,0,4,NA,NA,NA,2,2,NA,0,0,4,NA,4,4,3,3,2
"1137",1,1,4,4,53,1,1,0,2,1,0,1,1,0,0,3,1,4,0,1,0,0,1,0,0,1,1,0,0,3,NA,NA,NA,2,3,NA,0,0,2,4,3,1,3,1,2
"1138",2,1,4,4,50,1,2,1,1,0,0,1,0,0,1,1,5,6,0,1,0,0,1,0,0,1,0,1,0,5,NA,NA,NA,3,3,NA,0,0,3,NA,1,5,1,3,2
"1139",2,1,7,7,85,2,4,0,2,1,0,1,1,0,0,3,3,6,0,1,0,0,1,0,0,3,1,0,0,3,NA,NA,NA,2,2,NA,0,0,3,NA,3,3,3,3,2
"1140",2,1,6,6,82,2,1,0,2,1,0,1,1,0,0,2,3,5,1,1,1,0,1,0,0,3,1,0,1,2,NA,NA,NA,3,4,NA,0,0,2.5,5,2,3,2,3,2
"1141",2,1,5,5,65,1,3,0,2,1,0,1,1,0,0,1,1,2,0,1,0,0,1,0,0,1,1,0,0,1,NA,NA,NA,4,4,NA,0,0,1,2,1,1,1,1,1
"1142",1,1,5,5,65,1,2,2,0,0,1,0,0,1,1,3,2,5,1,1,0,1,0,1,0,3,0,1,1,2,NA,NA,NA,5,5,NA,0,0,2.5,5,3,2,3,2,2
"1143",2,1,6,6,72,2,4,2,0,0,1,0,0,1,1,2,2,4,2,1,1,1,0,1,1,2,0,1,1,2,NA,NA,NA,4,4,NA,0,0,2,4,2,2,2,2,2
"1144",2,1,4,4,55,1,3,0,2,1,0,1,1,0,0,3,2,5,1,1,0,1,1,0,0,3,1,0,1,2,NA,NA,NA,4,4,NA,0,0,2.5,5,3,2,3,2,2
"1145",1,1,5,5,66,1,1,0,2,1,0,1,1,0,0,2,1,3,1,1,1,0,1,0,0,1,1,0,1,2,NA,NA,NA,4,4,NA,0,0,1.5,3,2,1,2,1,2
"1146",1,1,4,4,48,1,2,1,1,0,0,1,0,0,1,2,3,5,1,1,1,0,0,1,0,3,1,0,1,2,NA,NA,NA,4,4,NA,0,0,2.5,5,2,3,2,3,2
"1147",1,1,5,6,60,1,4,1,1,0,0,0,1,1,0,2,2,4,2,1,1,1,0,1,1,2,1,0,1,2,NA,NA,NA,5,5,NA,0,0,2,4,2,2,2,2,2
"1148",1,1,4,4,49,1,3,2,0,0,1,0,0,1,1,2,2,4,2,1,1,1,0,1,1,2,0,1,1,2,NA,NA,NA,5,5,NA,0,0,2,4,2,2,2,2,2
"1149",2,1,4,4,49,1,1,0,2,1,0,1,1,0,0,2,2,4,2,1,1,1,1,0,1,2,1,0,1,2,NA,NA,NA,4,4,NA,0,0,2,4,2,2,2,2,2
"1153",2,1,7,7,91,2,1,0,2,1,0,1,1,0,0,2,5,7,1,1,1,0,1,0,1,2,1,0,0,5,NA,NA,NA,3,3,NA,0,0,3.5,NA,2,5,2,3,2
"3362",2,3,7,7,94,2,2,1,1,0,0,0,1,1,0,2,2,4,2,1,1,1,0,1,1,2,1,0,1,2,NA,NA,NA,3,4,1,1,1,2,4,2,2,2,2,2
"3363",1,3,6,6,76,2,4,0,2,1,0,1,1,0,0,1.5,2,3.5,1,1,0,1,1,0,1,2,1,0,0,1.5,NA,NA,NA,4,4,0,1,1,1.75,NA,2,2,2,2,2
"3364",2,3,5,5,67,1,3,1,1,0,0,1,0,0,1,5,5,10,0,1,0,0,1,0,0,5,0,1,0,5,NA,NA,NA,2,2,0,1,1,5,NA,5,5,3,3,2
"3365",2,3,5,5,64,1,1,2,0,0,1,0,0,1,1,5,5,10,0,1,0,0,0,1,0,5,0,1,0,5,NA,NA,NA,33,4,0,1,1,5,NA,5,5,3,3,2
"3366",2,3,6,6,81,2,2,0,2,1,0,1,1,0,0,3,5,8,0,1,0,0,1,0,0,3,1,0,0,5,NA,NA,NA,3,0,0,1,1,4,NA,3,5,3,3,2
"3367",2,3,4,4,59,1,4,0,2,1,0,1,1,0,0,2,2,4,2,1,1,1,1,0,1,2,1,0,1,2,NA,NA,NA,3,3,0,1,1,2,4,2,2,2,2,2
"3368",2,3,5,5,68,1,1,2,0,0,1,0,0,1,1,1.5,2,3.5,1,1,0,1,0,1,1,2,0,1,0,1.5,NA,NA,NA,2,2,0,1,1,1.75,NA,2,2,2,2,2
"3369",2,3,6,6,78,2,3,2,0,0,1,0,0,1,1,3,4,7,0,1,0,0,0,1,0,4,0,1,0,3,NA,NA,NA,4,4,0,1,1,3.5,NA,3,4,3,3,2
"3370",1,3,4,4,51,1,2,2,0,0,1,0,0,1,1,2,1,3,1,1,1,0,0,1,1,2,0,1,0,1,NA,NA,NA,4,4,0,1,1,1.5,3,2,1,2,1,2
"3371",1,3,6,6,72,2,4,1,1,0,0,1,0,0,1,2,3,5,1,1,1,0,0,1,0,3,1,0,1,2,NA,NA,NA,5,4,0,1,1,2.5,5,2,3,2,3,2
"3372",2,3,4,4,56,1,3,0,2,1,0,1,1,0,0,2,2,4,2,1,1,1,1,0,1,2,1,0,1,2,NA,NA,NA,5,4,0,1,1,2,4,2,2,2,2,2
"3373",1,3,6,6,78,2,1,0,2,1,0,1,1,0,0,5,5,10,0,1,0,0,1,0,0,5,1,0,0,5,NA,NA,NA,3,3,0,1,1,5,NA,5,5,3,3,2
"3374",1,3,5,5,62,1,2,1,1,0,0,1,0,0,1,1,5,6,0,1,0,0,0,1,0,5,1,0,0,1,NA,NA,NA,33,33,1,1,1,3,NA,1,5,1,3,2
"3375",2,3,6,6,74,2,3,1,1,0,0,1,0,0,1,5,5,10,0,1,0,0,1,0,0,5,0,1,0,5,NA,NA,NA,4,4,0,1,1,5,NA,5,5,3,3,2
"3376",1,3,5,5,71,1,1,0,2,1,0,1,1,0,0,3,1,4,0,1,0,0,1,0,0,1,1,0,0,3,NA,NA,NA,3,3,0,1,1,2,4,3,1,3,1,2
"3377",1,3,4,4,57,1,2,1,1,0,0,0,1,1,0,5,5,10,0,1,0,0,1,0,0,5,0,1,0,5,NA,NA,NA,5,5,0,1,1,5,NA,5,5,3,3,2
"3378",2,3,7,7,88,2,4,2,0,0,1,0,0,1,1,3,2,5,1,1,0,1,0,1,0,3,0,1,1,2,NA,NA,NA,33,33,0,1,1,2.5,5,3,2,3,2,2
"3379",1,3,6,6,80,2,3,1,1,0,0,1,0,0,1,3,2,5,1,1,0,1,0,1,1,2,1,0,0,3,NA,NA,NA,1,1,0,1,1,2.5,5,3,2,3,2,2
"3380",2,3,6,6,73,2,1,0,2,1,0,1,1,0,0,3,4,7,0,1,0,0,1,0,0,3,1,0,0,4,NA,NA,NA,4,4,0,1,1,3.5,NA,3,4,3,3,2
"3381",2,3,7,7,89,2,2,2,0,0,1,0,0,1,1,1.5,3,4.5,0,1,0,0,0,1,0,3,0,1,0,1.5,NA,NA,NA,4,2,0,1,1,2.25,NA,2,3,2,3,2
"3382",2,3,6,6,72,2,4,1,1,0,0,0,1,1,0,1,3,4,0,1,0,0,0,1,0,1,1,0,0,3,NA,NA,NA,4,4,0,1,1,2,4,1,3,1,3,2
"3383",1,3,5,5,64,1,3,0,2,1,0,1,1,0,0,5,5,10,0,1,0,0,1,0,0,5,1,0,0,5,NA,NA,NA,2,2,0,1,1,5,NA,5,5,3,3,2
"3384",1,3,5,5,70,1,1,2,0,0,1,0,0,1,1,2.5,3,5.5,0,1,0,0,0,1,0,3,0,1,0,2.5,NA,NA,NA,4,4,0,1,1,2.75,NA,3,3,3,3,2
"3385",2,3,7,7,88,2,2,0,2,1,0,1,1,0,0,3,2,5,1,1,0,1,1,0,0,3,1,0,1,2,NA,NA,NA,4,4,0,1,1,2.5,5,3,2,3,2,2
"3386",2,3,5,5,63,1,4,0,2,1,0,1,1,0,0,2,2,4,2,1,1,1,1,0,1,2,1,0,1,2,NA,NA,NA,4,4,0,1,1,2,4,2,2,2,2,2
"3387",2,3,4,4,58,1,3,1,1,0,0,1,0,0,1,1,2,3,1,1,0,1,1,0,0,1,0,1,1,2,NA,NA,NA,4,4,0,1,1,1.5,3,1,2,1,2,2
"3388",1,3,5,5,65,1,1,0,2,1,0,1,1,0,0,1,1,2,0,1,0,0,1,0,0,1,1,0,0,1,NA,NA,NA,4,4,0,1,1,1,2,1,1,1,1,1
"3389",2,3,7,7,93,2,2,0,2,1,0,1,1,0,0,2,3,5,1,1,1,0,1,0,1,2,1,0,0,3,NA,NA,NA,3,3,0,1,1,2.5,5,2,3,2,3,2
"3390",2,3,6,6,76,2,4,0,2,1,0,1,1,0,0,3,2,5,1,1,0,1,1,0,0,3,1,0,1,2,NA,NA,NA,4,4,0,1,1,2.5,5,3,2,3,2,2
"3391",2,3,5,5,65,1,1,0,2,1,0,1,1,0,0,3,3,6,0,1,0,0,1,0,0,3,1,0,0,3,NA,NA,NA,4,4,0,1,1,3,NA,3,3,3,3,2
"3392",2,3,4,4,50,1,3,0,2,1,0,1,1,0,0,1,1,2,2,1,0,0,1,0,0,1,1,0,0,1,NA,NA,NA,5,5,0,1,1,1,2,1,1,1,1,1
"3393",2,3,4,4,59,1,2,0,2,1,0,1,1,0,0,2,2,4,2,1,1,1,1,0,1,2,1,0,1,2,NA,NA,NA,5,3,1,1,1,2,4,2,2,2,2,2
"3394",1,NA,4,4,48,1,4,1,1,0,0,0,1,1,0,2,2,4,2,1,1,1,1,0,1,2,0,1,1,2,NA,NA,NA,4,4,0,NA,NA,2,4,2,2,2,2,2
"3395",1,3,4,4,48,1,3,2,0,0,1,0,0,1,1,1,2,3,1,1,0,2,0,1,0,1,0,1,1,2,NA,NA,NA,5,5,0,1,1,1.5,3,1,2,1,2,2
"3396",1,3,4,4,54,1,1,2,0,0,1,0,0,1,1,4,5,9,0,1,0,0,0,1,0,5,0,1,0,5,NA,NA,NA,1,1,0,1,1,4.5,NA,4,5,3,3,2
"3397",2,3,6,6,81,2,2,2,0,0,1,0,0,1,1,2,1,3,1,1,1,0,0,1,0,1,0,1,1,2,NA,NA,NA,4,5,0,1,1,1.5,3,2,1,2,1,2
"3398",1,3,6,6,73,2,4,0,2,1,0,1,1,0,0,1,2,3,1,1,0,1,1,0,0,1,1,0,1,2,NA,NA,NA,4,4,0,1,1,1.5,3,1,2,1,2,2
"3399",2,3,6,6,73,2,3,2,0,0,1,0,0,1,1,3,1,4,0,1,0,0,0,1,0,1,0,1,0,3,NA,NA,NA,4,4,0,1,1,2,4,3,1,3,1,2
"3400",2,3,6,6,76,2,1,0,2,1,0,1,1,0,0,2,1,3,1,1,1,0,1,0,1,2,1,0,0,1,NA,NA,NA,3,3,0,1,1,1.5,3,2,1,2,1,2
"3401",2,3,5,5,61,1,3,2,0,0,1,0,0,1,1,2,2,4,1,1,1,1,0,1,1,2,0,1,1,2,NA,NA,NA,5,5,NA,NA,1,2,4,2,2,2,2,2
"3402",1,3,7,7,86,2,1,0,2,1,0,1,1,0,0,2,2,4,1,0,1,1,1,0,1,2,1,0,1,2,NA,NA,NA,2,1,NA,NA,1,2,4,2,2,2,2,2
